"Surface","Web behavior","iOS behavior","Score","Concrete fix","Files"
"Posters (browse tiles)","2:3 rounded tile, object-cover, a shimmer .skeleton underlay until decode, a hover/press play affordance, coming-soon tiles dimmed with a neutral badge and a dimmer title, and the grid pages in at PAGE_SIZE=24 behind an IntersectionObserver with an 800px rootMargin so a ~78-tile tab never mounts all its bitmaps at once.","2:3 rounded tile, contentFit='cover', 200ms fade over a T.surface ground - no shimmer. `const gridItems = filtered` renders ALL tiles at once inside a non-recycling ScrollView, so the 86-tile Drama tab decodes every bitmap up front (width*height*4 bytes each) before the video pipelines allocate.","MINOR GAP","Replace `const gridItems = filtered` (BrowsePage.tsx:449) with a paged slice: add `const [page,setPage]=useState(1)`, `const gridItems = filtered.slice(0, page*24)`, reset page on activeTab change, and append a page from the ScrollView's onEndReached/onScroll when within ~800px of the end. Add a skeleton layer under <Poster> (BrowsePage.tsx:115-133) reusing the existing src/components/PosterSkeleton.tsx pulse, which is currently unimported.","verza-native/src/components/BrowsePage.tsx:115-133,449 | verza-native/src/components/PosterSkeleton.tsx | verza-tv/components/BrowsePage.tsx:233-294,626-643,1359-1360"
"Series detail page","Poster hero on #000, title, genre pill, episode count ('Episodes announced soon' for coming-soon rows), AUDIO-LANGUAGE BADGE, logline, year/channel, a de-duplicated description (22 of 96 rows open with the logline verbatim, so the repeated prefix is stripped), cast, tags, free-preview badge (live only), a RESUME-AWARE play CTA that carries the prewarm playbackId, the $1.99 unlock card behind HideInIOSApp, and an EpisodeDropdown or an 'Episodes are on the way' empty state.","Same skeleton and same order, but: no audio-language badge; description printed verbatim so the logline appears twice on 22 titles; episode count printed unconditionally; free-preview badge printed unconditionally; the CTA is a static Link to /series/<slug>/1 always labelled 'Watch Episode 1 Free' even when the viewer has progress; EpisodeDropdown rendered unconditionally. AppleSeriesUnlock replaces the $1.99 card (correct).","MAJOR GAP","index.tsx:277-279 - port web's collapse/key dedupe (page.tsx:245-268) before rendering description. index.tsx:255-259 - print 'Episodes announced soon' when status === 'coming_soon'. index.tsx:303-321 - gate the free-preview badge on status === 'live'. index.tsx:325-345 - replace the static Link with a resume-aware CTA: read watch_progress for this slug and swap href/label to 'Resume EP n' (port verza-tv/components/ResumeAwarePlay.tsx). index.tsx:380-393 - render EpisodeDropdown only when episodes.length > 0, else web's 'Episodes are on the way' card. Add the audio badge per the disclosure row.","verza-native/src/app/series/[slug]/index.tsx:250-262,277-279,303-345,380-393 | verza-tv/app/series/[slug]/page.tsx:186,200,245-268,318-327,334-345,414-450 | verza-tv/components/ResumeAwarePlay.tsx"
"Episode player","A 44px scrub hit strip along the bottom with a draggable playhead, mm:ss readouts and a 100ms write throttle, disabled on locked slides; press-and-hold to seek that ramps 4x -> 12x over 2s; a 'Free episode {n} of {total}' chip top-left while the viewer is inside an unowned free run; the EP badge, watermark, share sheet and progress readout.","The progress bar is Animated and pointerEvents='none' - a read-only readout. THERE IS NO WAY TO SEEK ANYWHERE IN AN EPISODE ON iOS: no scrubber, no hold-to-fast-forward, no double-tap skip (double-tap is the like burst). The free-run chip is absent; freeEpisodes is destructured then discarded with `void freeEpisodes`. EP badge, watermark and share sheet are at parity.","MAJOR GAP","EpisodeFeed.tsx:2747-2756 - wrap the progress track in a 44px-tall <GestureDetector> Pan (RNGH, simultaneousWithExternalGesture on the FlatList) that maps x/width to player.currentTime, pauses on begin and resumes on end, and no-ops when `activeEp && !activeEp.isFree && !authFree` (web's scrubDisabled at EpisodeFeed.tsx:3426). Add a hold-to-seek: arm a 300ms timer in handleTap (line 972-1020) that ticks player.currentTime at HOLD_SEEK_MIN_RATE 4 ramping to 12 over 2000ms. Add the free-run chip and the 'content.freeEpisodeOf' key, removing `void freeEpisodes` at line 1185.","verza-native/src/components/EpisodeFeed.tsx:972-1020,1185,2747-2756 | verza-tv/components/EpisodeFeed.tsx:292-325,1663-1790,2113-2130,3387-3470,4010-4032,4080-4145"
"Episode paywall / unlock overlay","Fully localized in all 19 locales via paywall.* keys, with lang/dir set on the overlay (rtl for Arabic): headline, 'You just watched the free preview of {title}...', two benefit bullets ('All {count} episodes, instantly' / 'Access on your Verza account...'), the large price, the CTA, and a Go Back control that is an anchor so the very first tap works pre-hydration.","Hardcoded English on every locale: 'Keep Watching', `Unlock all episodes of ${seriesTitle}`, 'Go Back'. No benefit bullets. The 19-locale LangDropdown ships on iOS, so a viewer who set Espanol browses in Spanish and then meets an English paywall at the single highest-value moment in the product. AppleSeriesUnlock itself is correct - StoreKit-localized displayPrice plus Restore Purchases.","MAJOR GAP","Add the provider-neutral paywall keys to all 19 locales in src/lib/i18n.ts - paywall.unlockAll, paywall.previewOver, paywall.benefitEpisodes, paywall.benefitAccess, paywall.goBack - copying the translations from verza-tv/lib/i18n.ts (skip paywall.secure and checkout.error*, which are Stripe-only). Then replace the literals at EpisodeFeed.tsx:2793 ('Keep Watching' -> t('paywall.unlockAll')), :2794-2796 (-> t('paywall.previewOver',{title:seriesTitle})) and :2831 ('Go Back' -> t('paywall.goBack')), and render the two benefit bullets above <AppleSeriesUnlock>.","verza-native/src/components/EpisodeFeed.tsx:2793-2796,2828-2832 | verza-native/src/lib/i18n.ts | verza-tv/components/EpisodeFeed.tsx:4180-4212,4337 | verza-tv/lib/i18n.ts:135-160"
"Episode-to-episode transition","Scroll-snap slides driven by an IntersectionObserver at threshold 0.6, auto-advance on `ended`, a 700ms ADVANCE_COOLDOWN, and a hard MAX_UNATTENDED_ADVANCES = 8: after eight self-driven advances with no touch or scroll the feed stops rather than running the whole series to a sleeping phone. EP toast on arrival.","FlatList with itemVisiblePercentThreshold 60 (same 0.6 threshold), auto-advance on ended, EP toast and haptics all at parity. There is no unattended-advance cap: requestTransition(nextIdx,'autoAdvance') fires unconditionally, so the feed will play a 60-episode series end to end on its own.","MINOR GAP","In EpisodeFeed.tsx add `const autoAdvanceRunRef = useRef(0)` and a MAX_UNATTENDED_ADVANCES = 8 constant; guard the autoAdvance call at line 1674 with `if (autoAdvanceRunRef.current >= MAX_UNATTENDED_ADVANCES) return; autoAdvanceRunRef.current += 1;` and reset the counter to 0 in the existing onScrollBeginDrag / onTap handlers, mirroring web.","verza-native/src/components/EpisodeFeed.tsx:1674 | verza-tv/components/EpisodeFeed.tsx:129-133,2996-3017"
"Search","One shared matcher, seriesMatchesQuery(), over a folded haystack of title + slug + genre + logline + channel + categories + tags + curated SEARCH_TAGS, per-token AND, and Unicode accent folding on BOTH the query and the index so 'pasion' matches 'Sentencia de pasion' and 'espanol' matches 'espanol'.","src/components/SearchBar.tsx (the /discover search) does not import seriesMatchesQuery at all. It carries a private inline predicate: substring OR across title/logline/genre/channel/categories only. No tags, no SEARCH_TAGS, no slug, no accent folding, and OR-across-fields instead of AND-across-tokens - so 'revenge', 'billionaire' and any two-word query return far fewer or zero results. src/lib/text-fold.ts does not exist on native. FeedSearch.tsx is narrower still (title/logline/genre) and skips the iOS reader filter. SearchButton.tsx and /search DO use the shared matcher.","MAJOR GAP","SearchBar.tsx:33-42 - delete the inline predicate and call `searchableSeries.filter(s => seriesMatchesQuery(s, query))`. FeedSearch.tsx:30-38 - same, and add the missing `Platform.OS === 'ios' && isIosReaderSeriesVisible` filter. Port verza-tv/lib/text-fold.ts to src/lib/text-fold.ts and rewire src/lib/search-index.ts:104-121 to web's seriesSearchHaystack (adds foldForSearch/foldText plus `s.slug.replace(/-/g,' ')`) - this is a byte-sync file, so restoring it also clears one Tier-1 drift. src/app/discover/index.tsx:27-28 passes the full catalog including coming_soon rows on Android; pass getLiveSeries().","verza-native/src/components/SearchBar.tsx:26-43 | verza-native/src/components/FeedSearch.tsx:30-38 | verza-native/src/lib/search-index.ts:104-121 | verza-native/src/app/discover/index.tsx:27-28 | verza-tv/lib/search-index.ts:98-150 | verza-tv/lib/text-fold.ts"
"Profile / Me","Header, Start Watching CTA, Subscription, Library card with three working destinations (My List -> /me/list, Continue Watching -> /me/list?tab=recent, Purchase History -> /me/purchases), Store, Creator, Settings incl. a push-notification toggle and a real dark/light switcher, Support incl. a Reset Password row -> /forgot-password, Legal, Sign Out, Delete Account. Guest counts are populated from device-local state.","Richer in places (VIP pill, Restore Purchases, Dynamic Type caps, session-verified sign-out). But two Library rows lie: 'Continue Watching' navigates to href='/' (the home screen) and 'Purchase History' navigates to '/library' (the saved list) - there is no purchases screen on native and /me/list is a bare Redirect to /library. The guest WatchingCount returns early on `!authUserId`, so every signed-out viewer sees a blank count. The Appearance row is a static 'Always On' chip, and no Reset Password row exists.","MAJOR GAP","me.tsx:411-415 - point Continue Watching at a real recently-watched surface (add a `recent` tab to LibraryPage.tsx and route to /library?tab=recent). me.tsx:417-421 - build a purchases screen from the entitlements query already written in ProfileDynamic.tsx:406-453 and point Purchase History at it, porting verza-tv/components/PurchaseHistoryList.tsx's four states. ProfileDynamic.tsx:370 - drop the `if (!authUserId) return` and read device-local progress for guests as web does. me.tsx:434-453 - add a Reset Password row (see the Sign-in row for the destination). The 'Always On' dark-mode chip is correct for a dark-only app - leave it.","verza-native/src/app/(tabs)/me.tsx:402-422,434-453 | verza-native/src/components/ProfileDynamic.tsx:358-401,406-453 | verza-native/src/app/me/list.tsx:8-10 | verza-tv/app/me/page.tsx:313-344,411-438 | verza-tv/app/me/purchases/page.tsx | verza-tv/components/PurchaseHistoryList.tsx"
"Library","Two tabs, defaulting to Channels: a channel directory (VERZA Originals, The Carpet, StorageBlue, The Vertical Tea) of horizontal poster rails with per-channel empty states and a Creator CTA, plus a My List tab. Saved list comes from /api/saved-list with a localStorage fallback on failure.","One section, My List only - the Channels tab was removed by owner decision (documented in-file). Native is better in several ways: purchases are unioned into the same list with an 'Owned' pill, sorting is owned-first then savedAt desc, reads go direct to Supabase under RLS, a query error fails closed instead of showing stale device data, and the iOS reader filter is applied in three places. Result links are hardcoded /series/<slug>/1.","MINOR GAP","If the Channels directory is still wanted on iOS, port verza-tv/components/LibraryPage.tsx:54-179 (CHANNEL_META + getChannels rails) as a second tab in src/components/LibraryPage.tsx:384-397 and filter each rail through isIosReaderSeriesVisible. If the removal is final, delete the now-dead CHANNEL_META reference in the file comment at :28-32 so the next reader does not re-add it. Separately, replace the hardcoded hrefs at :313 and :334 with the ported posterHref helper (see the Series link helper row).","verza-native/src/components/LibraryPage.tsx:28-32,313,334,384-397 | verza-tv/components/LibraryPage.tsx:54-179,191-215"
"Series link helper (posterHref / episodeHref)","lib/series-href.ts is the single decision for where a title link goes: posterHref() = episodeHref(series,1), which falls back to the show page when episodeCount < 1 because /series/<slug>/N is a real 404 for a zero-episode row. scripts/test-feed-integrity.mjs fails the build if any surface writes the literal instead.","No src/lib/series-href.ts. Six surfaces write the literal `/series/${slug}/1` by hand, so a coming-soon or zero-episode row would route into a player that has nothing to play. On iOS the reader policy filters those rows out, so nothing is broken today - but the guard web added does not exist and Android is exposed.","MINOR GAP","Port verza-tv/lib/series-href.ts to src/lib/series-href.ts (it deliberately lives outside catalog.ts to keep catalog.ts byte-stable for the fingerprint gate - keep it that way) and replace the six literals: SearchBar.tsx:88, SearchButton.tsx:177, FeedSearch.tsx:133, search.tsx:192, LibraryPage.tsx:313 and :334, plus the grid/hero links in BrowsePage.tsx:783,879.","verza-native/src/components/SearchBar.tsx:88 | verza-native/src/components/SearchButton.tsx:177 | verza-native/src/components/FeedSearch.tsx:133 | verza-native/src/app/search.tsx:192 | verza-native/src/components/LibraryPage.tsx:313,334 | verza-tv/lib/series-href.ts"
"Sign-in / auth","Email + password sign-in and sign-up with an 18+ gate, Google and Apple OAuth buttons, a dedicated /forgot-password route and a /reset-password route linked from the sign-in page, 'Continue as Guest', and a welcome email via Resend.","Email + password with the same 18+ gate and guest mode. OAuth is compiled but hidden on iOS (OAUTH_BUTTONS_VISIBLE = Platform.OS !== 'ios') - correct under Guideline 4.8, since shipping Google without native Sign in with Apple would be rejected. But there is no /forgot-password or /reset-password route: sign-in.tsx calls resetPasswordForEmail() inline and Alerts, and the emailed link lands on the WEB app. Email+password is the only iOS auth path, so a locked-out user must leave the app to recover.","MINOR GAP","Add src/app/reset-password.tsx handling the `verzatv://` deep link (the scheme is already declared in app.json:5) and pass it as the redirectTo of resetPasswordForEmail at sign-in.tsx:151, so recovery completes in-app. Add a matching Reset Password row to me.tsx:434-453 (web has two entry points; native has zero). Landmine to record: if OAUTH_BUTTONS_VISIBLE is ever flipped true, Guideline 4.8 requires native Sign in with Apple - expo-apple-authentication is not in package.json and the existing Apple branch at OAuthButtons.tsx:160-167 is a web OAuth flow, not SIWA.","verza-native/src/app/sign-in.tsx:139-161 | verza-native/src/components/OAuthButtons.tsx:80,148,155-167 | verza-native/app.json:5 | verza-tv/app/forgot-password/page.tsx | verza-tv/app/reset-password/page.tsx | verza-tv/app/sign-in/page.tsx:126-134"
"Bottom navigation","5 tabs in this order: Discover, Shorts, Shop, Library, Profile. 72px bar, #0D0D14 ground, 1px rgba(224,17,95,0.12) top border, a 60%-width gradient indicator with a pink drop-shadow on the active tab, safe-area bottom padding, and INACTIVE = #FFFFFF (full white). Active state is pathname-derived, so /channels and /me/list also light up Library.","Identical 5 tabs, order, icons, geometry, colours and safe-area handling, plus haptics and accessibilityRole='tab' that web lacks. Two differences: INACTIVE = rgba(255,255,255,0.55), so the four inactive tabs are visibly dimmer than on web; and active state comes from navigator state only, so /library and /channels (separate route trees) leave no tab highlighted.","MINOR GAP","BottomNav.tsx:13 - change INACTIVE to '#FFFFFF' to match verza-tv/components/BottomNav.tsx:8, or change web to 0.55 if the dimmer read is the intent; they must not disagree. BottomNav.tsx:114,120 - derive the active tab from usePathname() with web's mapping (a pathname starting /library, /channels or /me/list marks Library active) instead of state.routes[state.index].name.","verza-native/src/components/BottomNav.tsx:13,114,120 | verza-native/src/app/(tabs)/_layout.tsx:8-18 | verza-tv/components/BottomNav.tsx:8,75-80"
"Loading states","Browse tiles show a shimmer .skeleton until the image decodes, and the reveal is read from img.complete + a native load listener rather than React's onLoad (a cached image finishes before React attaches, which stranded 7 of 8 fully-decoded posters as blank tiles). Poster reveal in the player is delayed 500ms; video reveal uses first-frame detection.","The player's poster-holds-until-first-frame behaviour is at parity and correct (onFirstFrameRender + a timeUpdate backstop). Browse tiles have no skeleton - just a 200ms expo-image fade over a flat T.surface ground, so a slow tab paints as a wall of grey rectangles. src/components/PosterSkeleton.tsx exists, fully ported, and is imported by nothing.","MINOR GAP","Render the existing PosterSkeleton pulse as an absolutely-positioned underlay inside the <Poster> component (BrowsePage.tsx:115-133), cleared on the Image's onLoad. The component is already written and byte-faithful to web's .skeleton keyframes - it only needs to be mounted.","verza-native/src/components/BrowsePage.tsx:115-133 | verza-native/src/components/PosterSkeleton.tsx | verza-tv/components/BrowsePage.tsx:234-294 | verza-tv/app/globals.css (.skeleton)"
"Error states","A route error boundary for the player (app/series/[slug]/[episode]/error.tsx) renders 'This episode did not load / Your place in the series is saved' with Try again + Back to browse. Under it sits a full stall ladder: spinner at 1.5s, nudge at 3s, reload at 8s (5s corroborated), rebuild at 20s, terminal at 25s, max 2 reloads, plus hls.js startLoad/recoverMediaError recovery. Checkout failures surface as a role='alert' message.","No error boundary anywhere - src/app/_layout.tsx exports none and no route exports ErrorBoundary, so a render throw in the player is an unhandled crash. No stall detection at all: the code says 'No spinner - poster holds until video plays' and 'Web recovered fatal hls errors ... no native port'. A stream that stalls leaves the viewer on a frozen poster indefinitely with no spinner, no retry and no message.","MAJOR GAP","Add `export function ErrorBoundary({error, retry})` to src/app/series/[slug]/[episode].tsx (expo-router picks it up per route) rendering web's copy and actions from verza-tv/app/series/[slug]/[episode]/error.tsx. In EpisodeFeed.tsx add a stall watchdog beside the existing timeUpdate tick at line 821-870: if the active player's currentTime has not advanced for 1500ms show an ActivityIndicator over the poster (replacing the 'No spinner' comment at line 1060), at 3000ms re-issue play(), at 8000ms re-run refreshProtectedSource() (already implemented at :558), and at 25000ms show a terminal 'This episode did not load / Try again' card.","verza-native/src/app/series/[slug]/[episode].tsx | verza-native/src/app/_layout.tsx:19-29 | verza-native/src/components/EpisodeFeed.tsx:558,821-870,1060 | verza-tv/app/series/[slug]/[episode]/error.tsx | verza-tv/components/EpisodeFeed.tsx:218-263,1180-1260"
